SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT08R,DA0708DR08R,DADC408R,DA0GR08N,DAGC408R,DA311TA09R,DA311TR09R,DA311TW09R,DA311TM09R,DA311TC09R,DA311TS09R,DB311TA09R,DH311TA09R,DW311TA09R,DO311TA09R,DE311TA09R,DACTA09R,DA0CT08R,DA0CC08R,DA0CS08R,DA0CA08R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Pawnee,013902,013 BEE,02,RE,1,124,3,65,32,0,70.2,3,8,2,0,3,96.8,0,.,0,.,71,92,85,82,79,.,.,64,84,.,68,.,.,.,.,.,25,13,3,4,5,50,11,27,76220,59941,46828,40925,46,4.9,9.8,39.6,15.3,44.6,42.1,0,24,76,0,84,8,8,0,0,0,1829170,1.154000,2527000,18180,28,67,5,1061967,40,2211533,1510702,10868,50,13,5,9,22,758565,5457,71,12,15,0,0,1,1,0
Pettus,013903,013 BEE,02,AA,2,391,2,63,35,0,66.5,2,13,2,25,5,94.8,0,17.6,29,79.4,78,94,95,88,73,92,.,73,86,.,74,100,65.2,6.7,946,19,67,38,3,2,6,57,0,31,64947,51538,44015,41519,37,5.8,10.2,26,13.2,7.4,20.8,3,18,79,0,89,8,0,0,3,0,480771,1.040000,4548363,10960,53,38,9,954881,26,4276700,4154891,10012,55,9,5,13,17,2295623,5532,56,15,18,0,6,0,5,0
Skidmore-Tynan,013905,013 BEE,02,EX,3,720,2,63,35,0,63.1,3,11,3,29,6,96,0,4.7,60,90.6,81,97,98,85,89,98,.,76,87,.,78,95,43.1,9.1,.,18.7,108,59,3,4,12,55,1,26,74155,72540,32284,43829,47,6.7,12.2,33.8,12,11.8,16.2,5,24,71,0,89,5,0,0,4,2,193032,1.278000,8053289,10624,67,22,11,1407841,21,10439559,7402934,9766,54,6,6,14,20,3993679,5269,57,12,19,0,5,0,6,0
Richard Milburn Alter High,014801,014 BELL,12,EA,1,175,43,26,26,5,61.7,0,15,0,45,0,90.2,.,15.7,40,54.3,16,64,.,20,27,57,16,8,24,40,16,27,7.7,.,.,.,17,10,0,6,6,56,12,20,.,80000,44345,39886,77,10.2,18,39.2,8,30.9,0,75,0,25,0,81,0,0,0,19,0,0,0.000000,1197682,7439,91,0,9,132475,12,1204516,1204516,7481,44,23,12,10,11,532419,3307,64,10,21,0,5,0,0,0
Transformative Charter Acad,014802,014 BELL,12,EA,1,69,36,30,26,7,62.3,0,3,0,26,0,91,.,22.6,16,61.3,32,73,.,28,47,88,25,17,.,.,60,47,7.1,.,.,.,9,2,11,0,11,22,33,22,75000,.,42048,37960,89,7.7,34.5,100,0.5,0,77.8,100,0,0,0,88,0,0,0,12,0,0,0.000000,569908,9659,87,3,10,599005,75,609058,598570,10145,51,26,9,8,5,307562,5213,62,12,24,0,1,0,0,0
Temple Education Center,014803,014 BELL,12,EA,1,180,27,23,49,1,67.8,1,12,1,0,0,93.9,0,0,4,40,52,88,88,58,67,88,50,30,63,.,45,.,.,.,.,.,19,12,11,2,0,61,0,26,33450,50717,.,33763,21,9.5,15.6,100,1.1,17.3,71.4,26,0,74,0,61,5,17,0,0,17,0,0.000000,922062,6493,83,6,11,0,0,874149,874149,6156,51,14,8,17,12,442023,3113,58,9,32,0,0,0,0,0
Orenda Charter,014804,014 BELL,12,EU,3,97,33,22,44,1,96.9,0,56,0,0,0,99.3,1.6,81.8,0,0,14,44,.,13,30,57,10,17,20,.,14,.,.,.,.,.,31,15,3,3,3,49,29,13,120250,80000,71791,51294,32,3.1,6.5,73.3,5.1,40,45.5,20,20,60,0,99,1,0,0,0,0,0,0.000000,1656682,25101,98,-5,7,1400329,62,1507178,1507178,22836,48,29,11,5,7,724074,10971,23,63,14,0,0,0,0,0
Academy,014901,014 BELL,12,EX,4,1093,2,18,80,1,30.4,2,8,2,23,9,96.2,0.6,1.4,68,91.3,86,97,99,90,91,97,86,80,87,.,77,88,57.1,25,955,20.6,161,83,2,2,4,52,16,25,73007,64950,53142,45161,9,6.8,13.2,10.9,17.1,10.9,4.9,0,2,98,0,85,9,1,0,5,0,177152,1.157000,9554507,9258,63,34,4,1397750,18,9342569,8753464,8482,61,4,6,12,18,5295390,5131,57,15,13,5,5,0,4,0
Bartlett,014902,014 BELL,13,AA,1,410,14,61,25,1,70.5,13,10,13,29,6,95,0,3.7,26,96.3,56,81,79,69,65,87,54,51,73,.,51,85,47.8,18.2,915,.,69,37,1,3,2,54,16,24,82347,58916,47793,36582,26,5.9,11,56.4,8,10.8,42.6,8,3,89,0,82,3,4,0,12,0,199453,1.155000,4162502,10485,63,24,13,770501,23,4028263,3743859,9430,57,7,6,11,19,2118423,5336,57,12,18,2,7,0,5,0
Belton,014903,014 BELL,12,AA,13,8514,8,28,61,3,45.2,7,11,7,18,7,95.4,0,7.6,554,82.6,81,94,93,87,85,96,67,71,86,84,70,88,54.6,34.8,1015,21.5,1259,577,1,2,8,46,12,31,86859,63896,52110,41489,20,6.8,14.8,35.5,11.6,13.8,11.3,2,6,92,0,76,10,6,1,4,4,213257,1.411000,72503385,8744,58,34,8,10570846,17,74081415,62130337,7493,54,7,5,13,21,33362838,4023,59,17,9,2,3,6,4,0
Holland,014905,014 BELL,12,RE,3,555,5,26,68,1,51.5,3,9,3,30,11,96.1,0,0,39,100,88,95,92,92,91,96,72,81,93,.,83,92,37.1,23.1,.,20.6,99,49,1,1,10,50,11,27,89481,63598,47791,41739,15,5.6,11.3,22.4,15,15.8,6,2,4,94,0,81,7,5,0,7,0,144337,1.380000,7709205,13501,53,28,18,1095105,23,6776631,5778466,10120,52,8,6,10,25,2980634,5220,47,37,9,0,4,0,4,0
Killeen,014906,014 BELL,12,AA,52,38438,38,21,37,5,50.4,7,12,6,15,5,95.2,0.2,11.8,1620,80.6,72,92,92,80,78,95,64,72,80,82,66,84,67.7,19.9,940,20,5671,2818,0,3,9,50,12,26,99521,68735,57267,46317,40,6.8,13.6,47,9.3,16.2,16.4,16,10,71,2,76,10,2,3,3,6,150219,1.141000,373144116,9789,58,20,22,92041863,30,358614131,313967518,8237,59,5,5,11,20,184979690,4853,68,14,9,2,2,1,2,1
Rogers,014907,014 BELL,12,AA,3,830,2,22,76,0,43,4,10,4,26,11,96.7,0,1.9,48,94.2,80,93,97,86,86,96,73,60,85,.,71,95,60.5,26.1,1043,17.8,131,70,1,2,10,53,14,19,66975,59902,44992,39771,7,6.3,11.9,30.1,13.3,12.7,16.4,1,3,96,0,85,5,0,1,8,1,162892,1.391000,8823250,10529,61,32,7,2552074,39,11230353,7216335,8611,54,7,5,13,21,3870996,4619,61,11,12,0,5,1,11,0
Salado,014908,014 BELL,12,AA,4,1318,1,19,78,2,23.7,6,9,6,32,5,96.3,0,3.5,82,93,87,95,96,93,87,96,.,69,91,74,72,93,78.1,26.3,1001,20.5,174,96,1,4,5,55,8,27,114000,59055,46486,41718,13,7.6,13.7,22.4,13.2,15,14.4,2,2,96,0,78,6,2,3,6,5,428825,1.318000,12540737,10196,34,65,2,3828865,37,21927255,9354765,7606,58,4,6,11,21,5385892,4379,68,12,9,0,5,0,6,0
Temple,014909,014 BELL,12,AU,17,8569,29,35,34,2,67,7,9,7,18,8,94.1,0.5,19.6,421,72.2,66,86,86,75,71,89,49,61,81,87,56,80,60.5,36.2,1023,22.4,1226,617,1,3,10,50,12,24,91151,62031,49268,42360,32,7,13.9,40.4,10.9,17.6,20.4,8,11,80,0,68,10,7,4,4,6,300538,1.230000,77130756,9067,39,47,14,15329308,26,76306940,67236692,7904,57,6,5,10,21,38553836,4532,62,16,12,1,3,1,3,2
Troy,014910,014 BELL,12,AA,4,1311,3,21,75,2,42.4,2,12,2,26,9,95.9,0,3.7,77,91.5,80,94,97,85,82,94,53,65,84,85,71,85,57.1,27.8,987,20.6,178,96,2,3,4,54,13,25,77654,65757,49838,40584,9,7.3,13.6,33.2,13.2,13.8,19,0,4,95,1,81,8,2,1,3,3,173038,1.522000,11256593,8774,63,33,4,914840,10,11748505,9802042,7640,53,7,6,12,22,5164531,4025,64,15,10,0,5,1,5,1
Por Vida Academy,015801,015 BEXAR,20,EA,3,307,3,93,5,0,87.3,0,22,0,63,0,77.9,.,38.6,36,14.4,20,56,.,15,29,69,.,21,13,.,17,36,14.8,.,.,.,47,24,6,9,23,51,0,11,68250,52500,37290,32924,72,6.6,12.9,92.1,1.9,20.2,59.9,20,45,35,0,89,11,0,0,0,0,0,0.000000,3400114,9140,73,4,23,1025852,41,3324205,3282395,8824,28,20,14,21,17,916424,2464,41,14,38,0,6,0,1,0
George Gervin Academy,015802,015 BEXAR,20,EA,2,618,47,46,6,1,93.2,0,7,0,10,0,92.7,.,38.5,48,23,34,59,75,52,36,67,31,37,.,.,34,25,20.5,0,855,.,31,28,0,0,0,91,9,0,.,.,.,34065,79,19.8,21.8,93.3,2.6,30,37,33,47,20,0,83,0,10,0,7,0,0,0.000000,4288657,7459,86,1,13,269798,7,4048434,4046604,7038,45,6,9,27,13,1834286,3190,53,9,32,0,5,0,1,0
Higgs Carter King Gifted,015803,015 BEXAR,20,EA,1,561,9,86,5,0,97.9,4,6,4,0,0,95,0,0,7,100,67,89,.,78,56,89,67,68,.,.,65,.,.,.,.,.,33,29,3,6,3,88,0,0,85000,79151,60600,39856,73,17,19.4,96.5,1.3,3.5,45,31,38,31,0,100,0,0,0,0,0,0,0.000000,3342190,6711,83,1,17,1619435,65,2897604,2897604,5818,48,11,6,17,17,1399821,2811,73,8,18,0,0,0,0,0
New Frontiers Charter,015805,015 BEXAR,20,AA,3,606,1,94,5,0,89.4,10,12,10,0,0,94.4,0.5,.,0,.,57,85,91,73,49,57,83,56,90,.,57,.,.,.,.,.,58,36,2,5,5,63,10,15,108120,47787,41072,44272,72,10.5,16.7,72.5,5,24.8,42.4,6,63,30,0,74,26,0,0,0,0,0,0.000000,5280181,9057,82,2,16,1091014,25,4888690,4880804,8372,55,12,5,20,8,2669609,4579,52,16,30,2,0,0,0,0
School of Excellence,015806,015 BEXAR,20,AA,8,2272,45,47,7,1,86,4,10,4,27,0,96.2,0.2,18.5,59,58,58,83,85,70,58,84,54,59,75,50,57,66,97.9,0,757,14.7,386,172,1,5,17,44,5,27,87981,44558,35343,31872,85,5.9,13.2,93,2,7.5,30.5,57,22,21,1,84,6,3,1,6,0,0,0.000000,23088186,8686,85,2,13,.,.,22703013,21688386,8160,40,17,8,16,20,8634910,3249,60,11,23,1,3,0,3,0
Southwest Preparatory,015807,015 BEXAR,20,EU,4,758,19,63,16,2,69,1,14,0,16,0,84.3,.,44,125,14,31,75,.,29,39,70,16,31,41,.,31,57,26.5,0,817,.,101,39,7,13,28,38,2,12,90669,41397,46488,39914,49,7.5,19.6,66.6,5,29.4,35.7,18,29,53,0,57,24,11,0,7,0,0,0.000000,7089271,7706,84,7,9,1385309,22,7782055,7021042,7632,41,22,12,12,13,2885115,3136,43,20,20,1,8,0,0,9
John H Wood Jr Public Chart,015808,015 BEXAR,20,EN,5,337,26,42,32,1,100,6,38,5,0,0,99.5,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,29,.,.,.,.,77,35,4,10,19,45,0,22,81261,42948,51513,47456,38,4.4,9.7,49.1,8.7,24.9,74.2,11,15,74,0,98,2,0,0,0,0,0,0.000000,4774403,18577,81,1,18,2307568,41,5096504,5095697,19828,45,30,11,6,8,2300522,8951,5,71,23,0,0,0,0,0
Bexar County Academy,015809,015 BEXAR,20,AA,1,485,6,92,2,0,88.2,18,5,17,0,0,93.7,0,.,0,.,46,84,71,57,47,80,.,46,.,.,46,.,.,.,.,.,53,34,0,4,6,65,26,0,.,36026,23650,31932,70,9.2,14.3,72.2,4.6,11.6,49.9,14,43,35,7,58,3,37,3,0,0,0,0.000000,3960881,7859,83,0,17,421649,15,3508060,3430428,6806,51,13,15,12,9,1736307,3445,72,6,20,2,0,0,0,0
La Escuela De Las Americas,015811,015 BEXAR,20,AA,1,161,0,99,1,0,42.9,53,5,100,0,0,96.6,.,.,0,.,38,69,89,63,43,.,.,36,.,.,38,.,.,.,.,.,22,12,2,7,5,52,13,21,40000,55811,36000,32487,91,7.3,14,73.9,6,0,50.3,9,74,17,0,17,0,0,83,0,0,0,0.000000,1036048,6953,88,1,11,359111,40,1202079,1202049,8067,51,16,8,19,6,606540,4071,84,1,15,1,0,0,0,0
George I Sanchez Charter,015812,015 BEXAR,20,EA,1,129,3,90,6,1,64.3,0,10,0,71,0,83.2,3.3,55.6,24,19.8,36,80,.,12,24,79,.,35,.,.,42,17,4.3,.,.,.,9,9,3,0,0,97,0,0,110000,.,.,42379,78,14.5,15,76.8,6.1,23.2,64,0,77,23,0,92,4,0,0,3,0,0,0.000000,1143269,9689,87,0,13,-313503,-38,1268355,1232486,10445,45,15,11,21,7,552588,4683,62,16,22,0,0,0,0,0
Guardian Angel Perf Arts,015813,015 BEXAR,20,NR,1,18,17,83,0,0,77.8,0,6,0,0,17,90.5,0,.,0,.,80,.,.,80,.,.,.,80,.,.,.,.,.,.,.,.,4,2,25,25,0,50,0,0,31166,24932,.,12990,75,4.7,9.4,50,15.3,25,53.3,25,25,50,0,100,0,0,0,0,0,0,0.000000,47703,6815,84,0,16,40974,30,50252,50252,7179,78,1,0,14,8,38982,5569,73,18,9,0,0,0,0,0
Positive Solutions Charter,015814,015 BEXAR,20,EA,1,165,1,95,5,0,91.5,0,10,0,15,0,84.4,0,26.9,16,10.4,21,67,.,25,25,73,.,21,.,.,21,58,6.7,.,.,.,24,12,8,8,17,50,0,17,71488,59498,32552,27486,79,6.9,13.8,33.3,17.5,16.7,33.3,8,58,33,0,94,0,0,0,6,0,0,0.000000,1236173,7678,81,0,19,438761,25,1607056,1607056,9982,50,21,20,2,7,799301,4965,60,4,36,0,0,0,0,0
Radiance Acad of Learning,015815,015 BEXAR,20,EA,7,788,14,74,12,1,78.8,8,10,8,8,0,94.1,2.8,31.6,16,36.8,46,84,87,57,46,79,42,45,66,.,43,50,20,.,.,.,90,55,1,10,1,61,0,26,103473,51180,25000,34840,59,8.7,14.2,66.6,7.8,16.1,53.4,11,32,57,0,93,2,4,0,1,0,0,0.000000,4732705,7488,91,1,8,151926,3,4931946,4913634,7775,49,10,12,20,9,2411758,3816,71,10,17,1,2,0,0,0
Academy of Careers and Tech,015816,015 BEXAR,20,EA,1,156,8,76,15,1,70.5,2,17,1,97,0,91.3,.,27.3,14,9.1,23,71,.,15,42,77,.,22,33,.,26,53,9.1,.,.,.,35,17,6,6,35,48,6,0,72000,37623,21494,30940,66,4.5,9.3,100,1.5,17.9,70,12,24,58,6,82,6,0,0,12,0,0,0.000000,1251995,7776,75,3,23,421181,27,1593842,1583985,9838,53,14,6,19,8,835736,5191,49,11,19,0,20,0,1,0
San Antonio Can,015817,015 BEXAR,20,EU,1,400,2,96,3,0,89.5,12,11,8,26,0,83.9,.,56.1,63,10.4,32,68,.,30,31,72,.,32,33,.,33,37,4.8,.,.,.,43,21,3,9,20,49,5,15,86345,50676,42306,43950,58,9.3,18.9,66.9,6,23.7,36.2,5,29,62,5,75,19,0,0,6,0,0,0.000000,3619284,9071,88,4,8,549,0,3759382,3581534,8976,42,12,8,22,16,1518772,3806,62,13,23,2,0,0,0,0
Shekinah Radiance Academy,015819,015 BEXAR,20,EA,7,948,43,28,28,1,65.5,2,7,5,9,0,94.9,0,25.7,23,60,45,76,74,54,50,80,36,47,51,60,40,48,0,.,.,.,109,70,1,8,2,64,0,25,111260,43513,57555,34594,59,8.7,13.5,62.7,5.9,8.6,47.1,22,21,51,6,89,0,9,0,2,0,0,0.000000,7781942,8235,81,2,17,898298,13,7409559,7391589,7822,51,9,8,23,9,3764206,3983,58,16,25,0,1,0,0,0
San Antonio Sch for Inquiry,015820,015 BEXAR,20,EA,2,290,7,81,11,0,95.5,0,17,0,0,0,97.2,1.6,11.4,28,38.6,50,87,94,60,55,93,45,44,79,.,47,47,0,.,.,.,33,24,3,6,13,73,1,3,47500,41152,29175,29142,36,8.7,11.9,93.9,2.9,12.2,30.2,4,24,68,4,94,6,0,0,0,0,0,0.000000,2666696,9697,79,1,20,521000,27,2486147,2485706,9039,50,6,12,21,11,1232063,4480,50,12,37,0,0,0,0,0
Jubilee Academic Center,015822,015 BEXAR,20,AA,4,677,7,86,7,0,82.3,21,6,21,0,0,95.9,20.2,17.6,27,82.4,58,86,91,67,69,97,61,57,64,.,57,68,87,5,808,.,97,55,1,7,10,56,4,22,99000,54557,39395,31651,71,7,12.4,76.2,3.6,11,21.7,2,60,38,0,87,8,5,0,0,0,0,0.000000,4577430,8556,83,3,14,3885,0,4262981,4095654,7655,53,11,9,12,15,2185918,4086,66,9,24,1,0,0,1,0
San Antonio Technology Acad,015823,015 BEXAR,20,EA,1,69,4,91,4,0,92.8,0,9,0,61,0,88,.,0,27,63.3,23,75,.,22,37,74,.,24,.,.,24,28,0,.,.,.,16,9,12,9,0,55,0,24,76000,46523,.,27205,70,4.2,7.7,55.6,6.2,0,77.8,11,44,44,0,79,11,0,0,9,0,0,0.000000,1127659,12670,66,0,34,138250,17,989007,989007,11112,56,17,0,21,6,557239,6261,24,11,57,1,7,0,0,0
San Antonio Prep Academy,015824,015 BEXAR,20,AU,2,772,6,83,10,1,80.6,6,4,6,11,0,94.6,4.9,.,0,.,34,76,84,41,37,86,40,32,50,.,32,.,.,.,.,.,79,45,3,3,6,57,11,21,63773,51000,45057,33661,77,9.7,17.1,97.3,1.6,8.8,100,7,62,31,0,98,2,0,0,0,0,0,0.000000,2235373,7871,88,1,11,-268129,-6,2424739,2389517,8414,43,17,4,28,9,1021231,3596,72,14,13,0,0,0,1,0
Lighthouse Charter,015825,015 BEXAR,20,AA,1,166,7,81,11,0,83.1,5,10,5,0,2,95,0,.,0,.,55,71,96,68,62,71,.,46,90,.,50,.,.,.,.,.,21,13,1,9,0,61,0,28,161812,65000,.,33084,86,7.9,12.8,92.3,3.6,15.5,27.3,8,61,23,8,92,8,0,0,0,0,0,0.000000,1194878,9408,87,2,12,0,0,984053,984053,7748,54,19,5,11,10,535634,4218,51,29,19,0,0,0,0,0
Kipp Aspire Academy,015826,015 BEXAR,20,RE,1,366,2,96,2,0,85.2,19,6,19,22,0,96.5,0,.,0,.,78,92,99,86,79,.,75,77,.,.,76,.,.,.,.,.,50,20,2,4,22,40,8,24,92500,76000,50811,54709,56,7.3,18.3,40,8.8,30,45.1,10,20,60,10,92,5,0,0,3,0,0,0.000000,4305695,12197,68,23,9,45699,1,4153094,4124371,11684,45,18,8,10,18,1842642,5220,93,1,5,0,0,0,1,0
Sch of Science & Technology,015827,015 BEXAR,20,AU,1,400,11,52,28,11,28.8,0,2,0,0,1,97.1,3.5,.,0,.,83,97,98,85,92,.,80,78,91,89,78,.,.,.,.,.,31,28,0,8,0,92,0,0,.,67854,.,37682,22,13,14.2,96.4,2.6,28.8,45.8,0,20,76,4,100,0,0,0,0,0,0,0.000000,3084803,7617,89,7,4,686328,27,2909092,2399958,5926,59,10,10,13,8,1412122,3487,63,6,13,12,6,1,0,0
Harmony Sci Acad (San Anton,015828,015 BEXAR,20,RE,1,585,6,68,18,8,46.2,2,4,2,0,13,97.2,0,.,0,.,72,92,93,80,78,.,55,68,87,82,65,.,.,.,.,.,37,34,0,7,0,93,0,0,.,62512,.,38323,38,15.8,17.1,91.2,2.1,11.7,24.7,3,32,64,0,100,0,0,0,0,0,0,0.000000,3717934,10021,86,7,7,622004,18,3489772,2906577,7834,50,20,7,18,5,1448670,3905,63,6,29,2,0,1,0,0
Brooks Acad of Sci and Eng,015830,015 BEXAR,20,AA,1,602,6,80,13,2,54.3,2,4,0,16,14,95.8,0.5,.,0,.,59,93,96,63,80,98,63,58,63,63,60,.,.,.,.,.,46,39,1,5,9,85,0,0,79809,62062,22388,44443,52,13.2,15.6,67.3,6.4,22.4,32,5,43,52,0,80,3,0,0,2,15,0,0.000000,3264394,7238,92,2,6,1654,0,2508988,2506676,5558,60,16,8,6,10,1513671,3356,92,2,4,0,0,0,2,0
Sch of Sci & Tech Discovery,015831,015 BEXAR,20,RE,1,278,13,66,17,5,58.6,1,4,0,0,3,.,.,.,0,.,81,96,93,87,77,.,71,81,83,90,80,.,.,.,.,.,22,18,0,8,0,83,0,9,.,72656,.,34352,41,12.6,15.3,89,1.6,11,.,6,33,56,6,97,3,0,0,0,0,.,.,.,.,.,.,.,33673,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Alamo Heights,015901,015 BEXAR,20,AA,6,4618,1,34,62,3,17.3,5,6,5,2,18,96.2,0,0.9,327,95.7,85,97,96,90,87,97,71,74,91,84,63,96,96.1,58.9,1125,24,573,321,1,2,7,56,10,24,115736,76737,60396,54551,37,8.1,14.4,22.4,14.5,46.5,11,1,20,78,0,70,9,6,4,1,11,1051513,1.157000,46199481,10105,24,72,5,9171935,15,55261858,39519675,8644,61,7,5,11,16,24151137,5282,69,16,7,0,1,2,4,1
Harlandale,015904,015 BEXAR,20,AA,30,14351,1,96,3,0,90.7,15,10,13,28,6,95.2,0.3,8.6,733,76.3,67,89,93,76,70,92,66,66,75,71,66,80,44.1,2.9,845,17.8,1996,951,1,3,7,48,10,31,72931,67227,54708,46600,76,7.2,15.1,38.1,11.6,31.7,13.9,3,63,33,1,70,13,0,9,5,3,87784,1.479000,140065546,9933,69,16,15,2992056,3,145259630,122823357,8710,57,5,7,11,20,69646594,4939,57,14,15,7,3,0,1,3
Edgewood,015905,015 BEXAR,20,AA,20,11608,1,98,1,0,90.8,20,11,17,23,7,94,0.2,18.3,468,65.8,60,85,92,70,66,88,66,60,71,.,61,73,63.1,1.2,780,16.3,1720,802,0,2,11,47,9,30,108380,69152,57894,48742,84,6.8,14.5,40.4,11.6,30,14.7,4,70,25,1,66,13,4,11,3,3,76572,1.405000,124699590,10626,71,13,16,17278853,18,146237260,106068921,9039,54,10,5,12,19,56947142,4853,49,14,22,9,2,0,2,1
Randolph Field,015906,015 BEXAR,20,RE,3,1203,23,18,54,5,11,1,6,1,5,8,96.8,0,0,80,100,91,99,98,94,94,98,82,88,94,97,87,98,91.8,46.3,1094,21.9,175,93,2,2,9,53,9,24,104993,75549,59438,52901,26,6.9,12.9,15,17.4,41.9,4.4,4,12,84,0,78,11,6,0,1,5,0,0.000000,19331270,16679,33,4,64,1639641,15,20832821,17137802,14787,68,5,3,8,15,11706831,10101,81,9,4,0,1,3,3,0
San Antonio,015907,015 BEXAR,20,AU,99,54410,8,89,3,0,90.3,18,12,16,20,6,94.5,0.5,22.9,2153,59.1,58,86,90,68,62,88,51,58,70,73,57,71,72.3,5,811,16.7,7337,3321,1,2,11,45,12,29,86181,71225,57299,48620,80,7.4,16.4,31.5,13.3,35.9,14,12,57,30,1,65,11,6,12,3,3,219394,1.250000,540318516,9873,55,28,17,41036736,11,565679131,478572444,8745,56,6,6,11,22,268310709,4903,46,19,21,8,3,1,1,2
South San Antonio,015908,015 BEXAR,20,AU,17,9967,2,96,2,0,86.9,16,9,15,21,4,94.6,0.1,25,378,64.1,60,85,92,69,66,90,56,59,70,70,58,81,52.7,7.5,848,18.1,1437,678,1,3,8,47,12,29,81806,65217,56139,48575,81,6.9,14.7,41.2,11.6,31,12.6,2,67,29,1,52,10,6,17,4,12,121749,1.440000,102164452,10421,63,21,16,25166971,32,110842894,84130593,8581,58,7,6,10,20,48872397,4985,45,14,21,11,4,3,3,0
Somerset,015909,015 BEXAR,20,AA,7,3459,1,85,13,0,77.2,10,10,8,21,7,94.4,0.2,16.5,143,65,61,85,92,72,66,86,65,58,79,60,59,79,47.3,3.3,835,16.8,509,227,1,2,6,45,10,36,84790,58620,51105,45034,69,6.8,15.2,54.6,8.8,22.9,24.7,2,52,46,0,79,12,0,5,4,0,98579,1.205000,34630502,9752,70,18,12,16080462,65,31782550,29063485,8185,54,8,4,10,23,15787805,4446,52,16,19,5,4,2,3,0
North East,015910,015 BEXAR,20,RE,73,63189,9,49,38,4,40,8,10,8,20,7,95.6,0.1,3.2,3927,89.9,82,95,96,87,86,97,69,76,91,90,70,94,73.7,37.8,1037,22.3,8507,4311,0,2,11,51,9,28,148169,78828,63393,52403,41,7.4,14.7,32.5,11.6,30.9,10.4,3,23,73,1,64,14,2,8,3,9,436285,1.403000,660156782,10663,30,65,5,67552798,14,713171737,515611617,8328,61,4,6,10,19,315826875,5101,64,22,5,2,4,1,2,1
East Central,015911,015 BEXAR,20,AA,13,9078,11,60,28,1,60.4,6,11,7,21,7,95,0.1,9.5,479,75.2,66,90,90,76,66,88,58,62,76,68,59,79,63.8,17.5,915,19.6,1226,574,1,3,8,47,14,27,87310,76549,57500,50159,42,7.4,15.8,37.3,11.5,27.6,13.8,6,25,68,1,59,12,11,7,3,7,195699,1.320000,75564950,8616,60,31,9,6435686,10,76538545,68671384,7830,58,6,5,11,20,39463981,4500,60,18,12,3,3,2,1,1
Southwest,015912,015 BEXAR,20,AA,14,11333,3,89,7,1,82,15,11,14,20,4,94.1,0.5,11.3,512,76.1,64,89,92,73,68,89,63,62,80,60,61,77,51,9.1,862,17.9,1433,695,1,3,8,49,9,31,96830,72463,61379,50484,66,7.9,16.3,36.6,10.1,28.8,13.5,3,48,47,2,71,11,2,11,3,2,136570,1.210000,108615957,9955,65,21,14,7252741,8,129024818,88978363,8155,58,7,6,9,20,51607364,4730,60,16,17,1,3,0,2,1
Lackland,015913,015 BEXAR,20,RE,2,963,21,22,51,6,31.5,1,10,1,19,5,96.9,0,3.2,29,93.5,87,98,98,92,87,97,81,88,89,95,89,88,58.3,28.6,993,21,168,78,1,2,12,46,16,23,129839,77288,58216,53491,44,5.7,12.4,16.7,14.2,31.8,9,5,23,70,1,79,9,8,1,3,1,0,0.000000,12746585,14839,41,6,52,5236519,43,12512532,11320981,13179,57,7,5,11,21,6430999,7487,67,21,8,1,2,1,1,0
Ft Sam Houston,015914,015 BEXAR,20,RE,2,1438,29,19,47,5,30.9,3,12,4,11,5,95.7,0,0,72,95.9,79,94,95,84,84,99,72,78,84,81,72,79,93.9,38.7,1028,21.9,226,115,1,3,8,51,10,27,105748,75640,66571,52757,40,6.4,12.5,20.1,14.8,38.1,16.9,10,11,75,3,74,14,4,1,2,5,0,0.000000,19796935,13893,38,9,53,3587439,23,20408102,16407048,11514,57,11,5,10,17,9300405,6527,59,31,6,0,2,1,2,0
