DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,ASIAN,AMERICAN INDIAN OR ALASKA NAT,NATIVE HAWAIIAN/OTHER PACIFIC,HISPANIC/LATINO,BLACK OR AFRICAN AMERICAN,TWO OR MORE RACES,Special Education,WHITE,Economic Disadvantage
SHINER ISD,3,598,7.4,14.5,74.6,0.2,0.7,0.0,2.7,29.1,10.0,4,1,0,86,44,16,59,446,174
VYSEHRAD ISD,3,109,9.2,9.2,74.3,0.0,4.6,0.0,2.8,45.0,10.1,5,0,0,10,10,3,11,80,49
SWEET HOME ISD,3,154,0.6,20.8,76.0,0.0,0.0,0.0,2.6,16.2,7.8,0,0,0,32,0,4,12,117,24
EZZELL ISD,3,80,2.5,8.8,83.8,0.0,0.0,0.0,5.0,37.5,12.5,0,0,0,7,2,4,10,67,30
GIDDINGS ISD,13,1942,9.1,56.0,32.5,0.4,0.3,0.0,1.8,68.8,9.7,5,7,0,1087,176,34,188,631,1336
LEXINGTON ISD,13,960,7.5,12.9,75.7,0.2,0.1,0.1,3.4,45.5,9.0,0,1,0,123,72,32,86,726,436
DIME BOX ISD,13,190,33.2,38.9,21.1,1.1,0.5,0.0,5.3,75.8,17.9,0,2,0,73,63,10,34,40,144
BUFFALO ISD,6,953,5.5,40.2,50.2,0.4,1.0,0.1,2.6,62.1,6.4,9,3,0,383,52,24,60,478,591
CENTERVILLE ISD,6,700,8.3,10.0,79.4,0.7,0.4,0.0,1.1,40.4,7.4,2,4,0,70,58,7,51,555,282
NORMANGEE ISD,6,539,7.4,12.4,75.9,0.2,1.1,0.2,2.8,43.6,8.0,5,1,1,66,39,15,43,409,235
OAKWOOD ISD,6,186,30.1,14.5,52.2,0.0,0.5,0.0,2.7,79.6,8.6,0,0,0,26,55,5,15,97,148
LEON ISD,6,739,1.2,28.4,66.4,0.3,2.7,0.0,0.9,48.3,8.0,19,2,0,209,8,6,59,490,356
CLEVELAND ISD,4,3825,10.5,48.9,37.3,0.5,1.0,0.1,1.8,76.6,7.5,38,19,3,1870,401,68,286,1426,2929
DAYTON ISD,4,5186,8.1,37.2,51.8,0.9,0.4,0.1,1.5,60.9,8.9,20,46,5,1929,420,77,461,2686,3158
DEVERS ISD,4,170,6.5,26.5,65.3,0.0,0.6,0.6,0.6,44.7,7.1,1,0,1,45,11,1,12,111,75
HARDIN ISD,4,1312,3.7,12.3,81.4,0.3,0.0,0.0,2.2,55.7,6.1,0,3,0,161,48,28,80,1067,730
HULL-DAISETTA ISD,5,490,11.4,7.6,77.1,0.2,0.0,0.0,3.7,72.2,7.8,0,0,0,37,55,18,38,377,353
LIBERTY ISD,4,2110,15.9,36.2,45.1,0.4,0.5,0.0,1.9,57.4,8.1,10,8,0,763,335,40,170,951,1211
TARKINGTON ISD,4,1871,0.6,8.3,89.3,0.4,0.2,0.1,1.1,46.0,8.8,3,7,1,155,11,20,164,1670,860
COOLIDGE ISD,12,337,22.0,51.9,24.0,0.0,0.0,0.0,2.1,83.4,15.1,0,0,0,174,74,7,50,80,281
GROESBECK ISD,12,1829,14.8,20.8,59.9,1.6,1.0,0.1,1.8,63.5,10.8,18,29,1,380,270,32,197,1095,1161
MEXIA ISD,12,1971,29.2,43.1,22.8,0.2,1.4,0.0,3.4,78.2,9.3,27,3,0,849,575,67,183,449,1541
BOOKER ISD,16,417,0.2,67.4,31.7,0.2,0.0,0.0,0.5,50.4,8.9,0,0,0,281,0,2,37,132,210
FOLLETT ISD,16,191,0.0,29.3,67.5,0.5,0.5,0.0,2.1,48.7,7.3,0,0,0,55,0,4,13,128,93
HIGGINS ISD,16,151,1.3,17.2,80.1,0.0,0.7,0.0,0.7,59.6,15.9,1,0,0,25,1,1,24,120,89
DARROUZETT ISD,16,112,0.0,41.1,56.3,0.9,0.0,0.0,1.8,61.6,8.9,0,1,0,46,0,2,9,63,68
GEORGE WEST ISD,2,1121,0.7,55.6,42.0,0.4,0.4,0.0,0.9,49.0,8.7,4,4,0,623,7,10,97,470,549
THREE RIVERS ISD,2,717,0.4,55.9,42.8,0.0,0.4,0.0,0.4,59.4,9.8,2,0,0,400,2,2,70,306,425
LLANO ISD,13,1791,0.4,22.7,73.1,0.7,0.6,0.0,2.4,61.0,10.5,10,12,0,406,7,42,188,1309,1092
RISE ACADEMY,17,267,68.2,28.5,1.9,0.0,0.0,0.0,1.5,85.8,12.7,0,0,0,76,182,4,33,5,229
SOUTH PLAINS ACADEMY CHARTER DISTR,17,204,11.3,78.4,9.8,0.5,0.0,0.0,0.0,92.6,18.1,0,1,0,159,23,0,36,19,188
LUBBOCK ISD,17,29057,13.8,57.9,24.2,0.3,1.8,0.0,1.9,65.9,10.7,523,87,0,16824,4009,552,3109,7031,19148
NEW DEAL ISD,17,713,1.7,49.1,45.9,0.4,0.0,0.0,2.9,60.6,7.6,0,2,0,350,12,20,54,327,432
SLATON ISD,17,1298,5.8,67.0,25.7,0.1,0.1,0.0,1.3,77.1,11.6,1,1,0,869,75,16,150,333,1000
LUBBOCK-COOPER ISD,17,5307,1.2,33.4,61.5,0.5,1.2,0.1,2.0,33.0,6.9,63,26,5,1772,63,106,366,3263,1751
FRENSHIP ISD,17,8811,3.8,38.5,51.9,0.3,2.8,0.2,2.6,33.9,7.7,246,26,17,3392,334,229,678,4572,2986
ROOSEVELT ISD,17,1065,5.4,54.8,37.3,0.7,0.6,0.2,1.0,76.2,9.0,6,7,2,583,57,10,95,397,811
SHALLOWATER ISD,17,1657,1.0,31.4,66.1,0.4,0.0,0.0,1.2,42.5,7.4,0,6,0,520,16,19,122,1095,704
IDALOU ISD,17,973,0.5,41.6,57.2,0.1,0.0,0.0,0.5,35.7,8.4,0,0,0,404,4,4,81,556,347
O'DONNELL ISD,17,321,0.3,70.1,29.3,0.3,0.0,0.0,0.0,76.9,6.9,0,0,0,225,0,0,22,94,246
TAHOKA ISD,17,589,2.5,63.0,33.1,0.0,0.2,0.2,1.0,65.7,7.3,1,0,1,371,14,5,42,194,386
NEW HOME ISD,17,345,0.0,30.1,68.7,0.3,0.0,0.0,0.9,27.0,6.7,0,1,0,103,0,3,23,237,93
WILSON ISD,17,116,0.0,81.0,19.0,0.0,0.0,0.0,0.0,80.2,12.9,0,0,0,93,0,0,14,22,93
MADISONVILLE CISD,6,2328,20.9,32.0,44.1,0.2,0.6,0.0,2.3,72.1,6.7,13,4,0,744,486,53,155,1026,1678
NORTH ZULCH ISD,6,349,0.9,14.3,82.5,0.0,2.0,0.0,0.3,67.0,8.9,6,0,0,49,3,1,31,287,233
JEFFERSON ISD,8,1158,36.8,5.8,53.8,0.9,0.5,0.0,2.2,58.1,8.7,5,10,0,67,426,25,100,623,672
STANTON ISD,18,963,0.4,65.0,32.5,0.2,0.0,0.0,1.9,51.9,8.1,0,1,0,625,3,18,78,312,499
GRADY ISD,18,231,0.0,36.4,62.3,0.0,0.9,0.0,0.4,29.9,6.5,2,0,0,84,0,0,15,143,69
MASON ISD,15,653,0.2,36.8,62.2,0.0,0.8,0.0,0.2,47.9,8.0,5,0,0,240,1,1,52,406,312
BAY CITY ISD,3,3727,15.3,61.4,20.8,0.2,0.7,0.0,1.6,67.7,7.8,26,7,0,2288,570,59,290,775,2523
TIDEHAVEN ISD,3,823,3.0,51.6,43.9,0.0,0.1,0.0,1.3,68.3,6.3,0,0,0,424,24,10,51,361,562
MATAGORDA ISD,3,188,0.0,38.3,59.0,0.0,0.0,0.0,2.7,69.7,7.4,0,0,0,72,0,5,13,110,131
PALACIOS ISD,3,1441,2.9,66.3,20.0,0.1,9.0,0.0,1.7,66.6,9.1,129,1,0,955,41,24,131,288,959
VAN VLECK ISD,3,931,12.9,28.5,53.9,0.0,0.3,0.0,4.4,55.5,8.9,2,0,0,265,120,40,82,501,516
EAGLE PASS ISD,20,15011,0.1,97.3,0.7,1.5,0.3,0.0,0.1,75.9,7.7,45,225,0,14605,15,15,1155,105,11393
BRADY ISD,15,1241,2.9,48.3,46.9,0.1,0.5,0.0,1.3,61.2,12.8,6,1,0,599,35,16,158,582,759
ROCHELLE ISD,15,203,0.5,22.2,77.3,0.0,0.0,0.0,0.0,56.2,13.3,0,0,0,45,1,0,26,156,114
LOHN ISD,15,127,0.0,48.8,48.8,1.6,0.0,0.0,0.8,78.7,14.2,0,2,0,61,0,1,18,61,99
WACO CHARTER SCHOOL,12,223,18.8,78.9,1.8,0.0,0.0,0.0,0.4,99.6,8.1,0,0,0,175,41,0,18,4,222
RAPOPORT ACADEMY PUBLIC SCHOOL,12,783,39.8,30.8,26.3,0.5,0.8,0.0,1.8,64.5,5.7,6,3,0,241,311,14,44,205,505
HARMONY SCIENCE ACAD (WACO),12,8633,23.1,39.2,22.3,0.5,12.5,0.1,2.4,57.7,5.2,1079,43,8,3384,1994,207,448,1925,4981
CRAWFORD ISD,12,585,1.0,8.5,87.9,0.7,0.9,0.2,0.9,22.1,8.2,5,4,1,49,5,5,47,514,129
MIDWAY ISD,12,7643,11.9,22.6,57.9,0.4,4.7,0.2,2.3,31.0,6.7,359,30,15,1727,909,175,512,4425,2369
LA VEGA ISD,12,2966,25.7,54.1,18.0,0.1,0.1,0.0,1.9,83.7,6.6,2,2,0,1604,762,56,195,533,2482
LORENA ISD,12,1668,1.0,14.2,82.3,0.6,0.3,0.0,1.6,28.4,8.0,5,10,0,236,16,26,133,1372,473
MART ISD,12,489,25.6,15.5,54.0,0.0,0.0,0.0,4.9,72.8,12.1,0,0,0,75,125,23,59,264,355
MCGREGOR ISD,12,1373,7.5,49.0,40.8,1.0,0.2,0.0,1.5,70.7,7.2,2,13,0,672,102,20,98,560,970
MOODY ISD,12,693,5.8,30.6,60.3,0.7,0.0,0.0,2.6,64.5,9.5,0,4,0,212,40,18,65,417,446
RIESEL ISD,12,596,3.4,18.8,75.8,0.0,0.3,0.0,1.7,42.3,9.1,1,0,0,112,20,10,54,451,252
WACO ISD,12,14950,29.4,59.3,9.2,0.1,0.4,0.0,1.6,87.1,7.9,59,14,0,8865,4395,239,1181,1375,13021
WEST ISD,12,1351,2.4,18.4,76.9,0.1,0.0,0.0,2.2,45.4,5.6,0,1,0,248,32,29,75,1038,613
AXTELL ISD,12,780,1.9,18.2,76.8,0.6,0.1,0.0,2.3,55.4,16.5,0,4,0,141,14,17,128,599,432
BRUCEVILLE-EDDY ISD,12,778,1.4,26.1,68.9,0.8,0.5,0.1,2.2,57.8,10.7,3,6,0,203,10,17,83,536,449
CHINA SPRING ISD,12,2460,4.1,14.6,78.0,0.1,0.9,0.1,2.2,25.4,9.3,22,2,2,359,100,54,228,1918,624
CONNALLY ISD,12,2328,31.8,30.3,33.8,0.8,0.3,0.1,2.9,78.8,7.7,6,18,2,705,740,67,179,786,1834
ROBINSON ISD,12,2316,3.1,24.2,68.9,0.8,0.5,0.0,2.6,31.6,10.0,11,18,0,560,71,60,231,1595,731
BOSQUEVILLE ISD,12,625,6.4,23.8,67.2,0.5,0.2,0.6,1.3,37.9,10.4,1,3,3,148,40,8,65,420,236
HALLSBURG ISD,12,159,2.5,11.9,83.6,0.6,0.0,0.0,1.3,48.4,5.7,0,0,0,18,3,2,9,132,76
GHOLSON ISD,12,248,3.2,22.6,73.4,0.4,0.0,0.0,0.4,75.8,9.7,0,0,0,56,7,0,24,182,187
MCMULLEN COUNTY ISD,2,263,0.4,35.7,61.2,0.4,1.5,0.0,0.8,24.7,5.7,3,1,0,93,1,2,14,160,64
DEVINE ISD,20,1960,0.4,61.8,36.7,0.1,0.0,0.0,1.0,55.7,9.0,0,1,0,1211,7,19,176,719,1091
D'HANIS ISD,20,342,0.0,54.1,43.3,0.6,0.0,0.0,2.0,52.9,9.9,0,2,0,185,0,6,33,148,180
NATALIA ISD,20,1126,0.6,82.5,15.4,0.1,0.4,0.2,0.9,75.8,10.3,4,1,2,928,6,10,115,173,853
HONDO ISD,20,2135,0.8,69.5,28.4,0.2,0.2,0.1,0.8,63.5,8.2,4,4,2,1483,17,17,175,606,1355
MEDINA VALLEY ISD,20,4195,2.7,56.9,37.6,0.5,0.4,0.2,1.6,50.3,9.6,16,20,8,2386,113,67,402,1577,2110
MENARD ISD,15,304,0.3,47.7,51.0,0.0,0.0,0.0,1.0,65.5,9.5,0,0,0,145,0,3,28,155,199
MIDLAND ACADEMY CHARTER SCHOOL,18,441,7.9,62.1,27.2,1.1,0.7,0.0,0.9,38.5,3.9,3,4,0,273,34,3,17,119,169
MIDLAND ISD,18,24300,8.0,61.0,27.3,0.3,2.0,0.1,1.4,42.3,6.7,486,72,24,14823,1944,340,1628,6633,10278
GREENWOOD ISD,18,2154,0.9,44.1,53.8,0.0,0.2,0.0,1.0,28.3,4.8,4,0,0,949,19,21,103,1158,609
CAMERON ISD,6,1681,16.6,47.3,33.8,0.1,0.4,0.0,1.8,71.3,9.0,6,1,0,795,279,30,151,568,1198
GAUSE ISD,6,186,12.4,23.1,59.1,0.0,1.1,0.0,4.3,60.8,9.7,2,0,0,42,23,7,18,109,113
MILANO ISD,6,449,4.2,22.3,68.8,0.2,0.9,0.0,3.6,50.8,7.3,4,0,0,100,18,16,32,308,228
ROCKDALE ISD,6,1587,10.9,46.2,40.0,0.4,0.4,0.0,2.0,68.9,9.6,6,6,0,733,172,31,152,634,1093
THORNDALE ISD,13,604,2.0,25.0,70.5,0.0,0.0,0.0,2.5,47.7,7.0,0,0,0,151,12,15,42,425,288
BUCKHOLTS ISD,6,176,1.7,62.5,34.7,0.0,0.0,0.0,1.1,79.0,9.7,0,0,0,110,2,1,17,61,139
GOLDTHWAITE ISD,12,601,0.3,26.3,72.2,0.3,0.3,0.0,0.5,47.4,9.0,1,1,0,158,1,3,54,433,284
MULLIN ISD,12,246,17.9,36.6,43.5,0.0,0.0,0.4,1.6,90.7,36.2,0,0,0,90,44,3,89,107,223
PRIDDY ISD,12,114,0.0,29.8,70.2,0.0,0.0,0.0,0.0,70.2,8.8,0,0,0,33,0,0,10,80,80
COLORADO ISD,14,1029,8.5,51.8,37.3,0.2,0.8,0.1,1.4,53.7,8.3,8,2,1,533,87,14,85,383,552
LORAINE ISD,14,168,7.1,52.4,38.7,0.6,0.0,0.0,1.2,62.5,7.1,0,1,0,88,11,2,11,65,105
WESTBROOK ISD,14,296,0.3,34.5,62.8,1.0,0.3,0.0,1.0,32.4,11.1,0,2,0,102,0,2,32,185,95
BOWIE ISD,9,1704,0.6,14.9,81.0,0.6,0.4,0.0,2.6,49.8,9.0,6,10,0,253,10,44,153,1380,848
NOCONA ISD,9,809,0.5,29.4,66.1,0.7,0.2,0.0,3.0,55.3,9.1,1,5,0,237,4,24,73,534,447
GOLD BURG ISD,9,137,0.0,9.5,83.9,2.2,0.0,0.0,4.4,41.6,8.8,0,3,0,13,0,6,12,114,56
MONTAGUE ISD,9,124,0.0,8.1,89.5,0.8,0.0,0.0,1.6,33.9,8.1,0,0,0,10,0,1,10,110,42
PRAIRIE VALLEY ISD,9,140,0.0,6.4,91.4,0.0,0.0,0.0,2.1,55.7,10.0,0,0,0,8,0,2,14,127,77
FORESTBURG ISD,9,192,0.0,13.0,83.9,0.5,0.0,0.0,2.6,38.0,9.9,0,0,0,24,0,4,19,161,72
SAINT JO ISD,9,257,0.0,16.0,80.9,0.8,0.4,0.0,1.9,43.6,12.8,1,2,0,41,0,4,32,207,112
TEXAS SERENITY ACADEMY,6,408,38.7,59.6,0.7,0.0,0.0,0.2,0.7,91.9,7.6,0,0,0,243,157,2,31,2,374
CONROE ISD,6,56164,6.3,35.0,51.7,0.5,3.6,0.2,2.7,35.8,7.5,2021,280,112,19657,3538,1516,4212,29036,20106
MONTGOMERY ISD,6,7924,3.1,12.9,80.3,0.6,1.1,0.1,1.9,23.5,6.1,87,47,7,1022,245,150,483,6362,1862
WILLIS ISD,6,6905,7.7,34.0,54.2,0.4,0.7,0.1,3.0,58.0,7.1,48,27,6,2347,531,207,490,3742,4004
MAGNOLIA ISD,6,12424,2.0,30.8,63.7,0.7,0.8,0.0,2.0,39.3,8.4,99,86,0,3826,248,248,1043,7914,4882
SPLENDORA ISD,6,3624,0.7,32.7,64.8,0.3,0.1,0.0,1.4,58.1,8.2,3,10,0,1185,25,50,297,2348,2105
NEW CANEY ISD,6,12937,3.0,53.4,40.2,0.4,1.5,0.1,1.5,62.6,9.4,194,51,12,6908,388,194,1216,5200,8098
DUMAS ISD,16,4554,0.9,70.6,19.8,0.5,7.1,0.0,1.1,70.1,9.4,323,22,0,3215,40,50,428,901,3192
SUNRAY ISD,16,520,0.6,56.2,41.0,0.2,0.2,0.0,1.9,47.9,8.1,1,1,0,292,3,9,42,213,249
DAINGERFIELD-LONE STAR ISD,8,1085,41.2,18.6,34.1,0.2,0.7,0.0,5.2,79.0,12.9,7,2,0,201,447,56,139,369,857
PEWITT CISD,8,982,14.3,10.7,68.0,0.5,0.2,0.0,6.3,66.7,9.1,1,4,0,105,140,61,89,667,654
MOTLEY COUNTY ISD,17,167,0.6,29.9,68.9,0.0,0.0,0.0,0.6,76.0,9.0,0,0,0,49,1,1,15,115,126
STEPHEN F AUSTIN STATE UNIVERSITY,7,250,7.6,6.8,76.0,0.4,6.0,0.4,2.8,7.6,3.2,15,1,1,17,19,7,8,190,19
CHIRENO ISD,7,373,7.2,16.1,73.2,0.0,0.0,0.3,3.2,66.0,7.5,0,0,1,60,26,11,27,273,246
CUSHING ISD,7,506,4.0,13.0,79.2,0.2,0.4,0.4,2.8,68.0,11.9,2,1,2,65,20,14,60,400,344
GARRISON ISD,7,734,19.5,10.5,66.5,0.7,0.7,0.0,2.2,46.6,9.0,5,5,0,77,143,16,66,488,342
NACOGDOCHES ISD,7,6423,28.9,45.0,21.7,0.2,2.7,0.1,1.4,80.8,7.5,173,12,6,2890,1856,89,481,1393,5189
WODEN ISD,7,788,1.3,21.4,74.4,0.0,0.5,0.0,2.4,60.7,4.4,3,0,0,168,10,18,34,586,478
CENTRAL HEIGHTS ISD,7,1151,4.4,15.6,76.7,0.6,0.7,0.0,1.9,38.0,6.0,8,6,0,179,50,21,69,882,437
MARTINSVILLE ISD,7,364,5.2,12.4,79.7,0.0,0.0,0.0,2.7,42.9,12.9,0,0,0,45,18,9,46,290,156
ETOILE ISD,7,130,0.0,4.6,92.3,2.3,0.0,0.0,0.8,79.2,13.1,0,2,0,5,0,1,17,119,102
DOUGLASS ISD,7,449,6.7,15.6,73.7,1.6,0.0,0.0,2.4,34.5,9.6,0,7,0,70,30,10,43,330,154
BLOOMING GROVE ISD,12,869,3.1,26.2,64.9,0.1,0.2,0.0,5.4,58.0,6.4,1,0,0,227,26,46,55,563,504
CORSICANA ISD,12,5904,17.5,48.4,28.1,0.3,0.7,2.5,2.5,74.1,8.2,41,17,147,2857,1033,147,484,1659,4374
DAWSON ISD,12,468,7.3,14.5,76.1,0.6,0.0,0.0,1.5,62.4,7.9,0,2,0,67,34,7,36,356,292
FROST ISD,12,416,2.2,32.2,62.0,0.2,0.0,0.0,3.4,52.4,6.7,0,0,0,133,9,14,27,257,217
KERENS ISD,12,628,27.1,25.0,46.3,0.2,0.2,0.0,1.3,78.2,9.4,1,1,0,157,170,8,59,290,491
MILDRED ISD,12,685,2.0,12.0,81.9,0.3,0.3,1.0,2.5,35.9,7.2,2,2,6,82,13,17,49,561,245
RICE ISD,12,876,3.2,55.4,40.0,0.1,0.1,0.0,1.3,67.6,6.5,0,0,0,485,28,11,56,350,592
BURKEVILLE ISD,5,293,33.1,0.7,65.5,0.3,0.0,0.0,0.3,74.7,7.8,0,0,0,2,96,0,22,191,218
NEWTON ISD,5,1008,38.9,4.9,51.4,0.4,0.4,0.0,4.1,46.6,13.6,4,4,0,49,392,41,137,518,469
DEWEYVILLE ISD,5,653,1.5,3.4,93.7,0.9,0.0,0.0,0.5,49.0,10.4,0,5,0,22,9,3,67,611,319
ROSCOE COLLEGIATE ISD,14,582,1.7,53.4,43.6,0.0,0.5,0.0,0.7,45.0,4.6,2,0,0,310,9,4,26,253,261
SWEETWATER ISD,14,2172,6.4,51.6,39.5,0.2,0.3,0.0,1.9,67.9,11.3,6,4,0,1120,139,41,245,857,1474
BLACKWELL CISD,14,131,0.0,15.3,81.7,1.5,0.0,0.0,1.5,40.5,16.0,0,1,0,20,0,1,20,107,53
HIGHLAND ISD,14,215,0.5,15.3,83.3,0.0,0.9,0.0,0.0,34.9,7.9,1,0,0,32,1,0,16,179,75
DR M L GARZA-GONZALEZ CHARTER SCHO,2,185,1.1,97.3,1.6,0.0,0.0,0.0,0.0,83.8,0.5,0,0,0,180,2,0,0,2,155
CORPUS CHRISTI MONTESSORI SCHOOL,2,163,3.1,62.6,27.6,0.6,3.7,0.0,2.5,22.7,4.9,6,0,0,102,5,4,7,44,37
SEASHORE CHARTER SCHOOLS,2,470,0.6,18.9,75.5,0.6,2.1,0.0,2.1,1.3,6.4,9,2,0,88,2,9,30,354,6
AGUA DULCE ISD,2,397,0.5,80.9,18.4,0.3,0.0,0.0,0.0,66.0,7.3,0,1,0,321,1,0,28,73,262
BISHOP CISD,2,1351,1.0,81.1,16.4,0.3,0.6,0.1,0.4,59.0,9.8,8,4,1,1095,13,5,132,221,797
CALALLEN ISD,2,4004,1.6,56.2,39.5,0.3,1.1,0.1,1.0,40.1,9.5,44,12,4,2250,64,40,380,1581,1605
CORPUS CHRISTI ISD,2,38675,4.0,79.4,13.8,0.2,1.8,0.1,0.7,66.6,9.0,696,77,38,30707,1547,270,3480,5337,25757
DRISCOLL ISD,2,286,0.3,87.4,11.5,0.0,0.0,0.0,0.7,71.3,7.7,0,0,0,249,0,2,22,32,203
LONDON ISD,2,771,1.6,46.0,48.8,0.3,2.3,0.0,1.0,11.0,5.8,17,2,0,354,12,7,44,376,84
PORT ARANSAS ISD,2,504,0.2,17.1,76.2,1.2,1.6,0.0,3.8,35.1,8.7,8,6,0,86,1,19,43,384,176
ROBSTOWN ISD,2,2885,1.0,97.0,1.7,0.1,0.0,0.0,0.1,78.2,10.1,0,2,0,2798,28,2,291,49,2256
TULOSO-MIDWAY ISD,2,3872,1.2,77.6,19.9,0.2,0.4,0.1,0.7,52.4,10.0,15,7,3,3004,46,27,387,770,2028
BANQUETE ISD,2,910,0.8,81.6,17.4,0.0,0.2,0.0,0.0,69.2,8.6,1,0,0,742,7,0,78,158,629
FLOUR BLUFF ISD,2,5779,3.5,40.2,48.3,0.2,1.6,0.2,6.0,42.5,10.2,92,11,11,2323,202,346,589,2791,2456
WEST OSO ISD,2,1982,11.7,85.6,2.1,0.0,0.0,0.0,0.6,92.7,10.3,0,0,0,1696,231,11,204,41,1837
PERRYTON ISD,16,2425,0.2,71.0,27.1,0.6,0.3,0.1,0.5,54.5,6.9,7,14,2,1721,4,12,167,657,1321
BOYS RANCH ISD,16,281,14.2,16.0,65.5,0.7,0.0,0.4,3.2,80.4,15.3,0,1,1,44,39,8,42,184,225
VEGA ISD,16,359,0.3,13.1,84.1,0.6,1.1,0.0,0.8,30.1,7.8,3,2,0,47,1,2,28,301,108
ADRIAN ISD,16,117,0.0,53.8,42.7,0.9,0.0,0.0,2.6,65.0,15.4,0,1,0,62,0,3,18,49,76
WILDORADO ISD,16,92,0.0,26.1,72.8,0.0,1.1,0.0,0.0,31.5,3.3,1,0,0,24,0,0,3,66,28
BRIDGE CITY ISD,5,2805,1.0,14.6,79.8,0.4,2.4,0.1,1.9,35.0,7.5,67,11,2,409,28,53,210,2238,981
ORANGEFIELD ISD,5,1781,0.2,9.0,86.1,0.5,2.1,0.0,2.1,38.3,7.2,37,8,0,160,3,37,128,1533,682
WEST ORANGE-COVE CISD,5,2410,60.2,11.7,22.4,0.4,0.3,0.1,4.9,90.1,11.2,7,9,2,281,1450,118,269,539,2171
VIDOR ISD,5,4877,0.3,7.0,90.1,0.3,0.7,0.1,1.6,51.9,12.9,34,14,4,341,14,78,629,4394,2531
LITTLE CYPRESS-MAURICEVILLE CISD,5,3336,6.7,9.7,78.9,0.5,1.4,0.0,2.9,39.0,12.5,46,16,0,323,223,96,417,2632,1301
GORDON ISD,11,201,0.5,16.4,80.6,0.0,0.0,0.0,2.5,35.8,9.5,0,0,0,32,1,5,19,162,71
GRAFORD ISD,11,335,0.0,13.7,83.3,0.6,0.6,0.0,1.8,51.0,7.8,2,2,0,45,0,6,26,279,170
MINERAL WELLS ISD,11,3332,3.4,38.7,54.6,0.6,0.2,0.0,2.4,72.1,8.0,6,19,0,1289,113,79,266,1819,2402
SANTO ISD,11,478,0.2,18.6,79.1,0.0,0.2,0.0,1.9,46.9,9.0,0,0,0,88,0,9,43,378,224
STRAWN ISD,11,172,2.9,32.6,61.0,0.0,0.0,0.0,3.5,58.1,9.9,0,0,0,56,4,6,17,104,99
PALO PINTO ISD,11,124,0.8,22.6,73.4,0.0,0.8,0.0,2.4,54.8,6.5,0,0,0,28,0,2,8,91,67
PANOLA CHARTER SCHOOL,7,154,7.8,6.5,83.1,0.6,0.6,0.0,1.3,35.7,10.4,0,0,0,10,12,2,16,127,54
BECKVILLE ISD,7,704,5.8,9.8,81.8,0.1,0.3,0.1,2.0,33.2,5.8,2,0,0,68,40,14,40,575,233
CARTHAGE ISD,7,2718,23.2,18.0,56.1,0.2,0.8,0.0,1.6,51.7,10.3,21,5,0,489,630,43,279,1524,1405
GARY ISD,7,458,0.4,7.0,91.3,0.0,0.2,0.0,1.1,47.2,9.8,0,0,0,32,1,5,44,418,216
CROSSTIMBERS ACADEMY,11,90,2.2,14.4,78.9,1.1,0.0,0.0,3.3,45.6,7.8,0,0,0,12,1,2,7,71,41
POOLVILLE ISD,11,533,0.2,17.8,81.1,0.6,0.0,0.0,0.4,56.8,7.7,0,3,0,94,1,2,41,432,302
SPRINGTOWN ISD,11,3353,1.0,17.2,78.3,0.7,0.4,0.1,2.3,54.3,8.8,13,23,3,576,33,77,295,2625,1820
WEATHERFORD ISD,11,7708,2.4,24.6,69.3,0.5,0.8,0.1,2.3,42.4,8.8,61,38,7,1896,184,177,678,5341,3268
MILLSAP ISD,11,878,0.8,14.4,82.7,0.7,0.0,0.0,1.5,40.3,7.6,0,6,0,126,7,13,66,726,353
ALEDO ISD,11,5025,1.6,11.6,83.0,0.5,0.8,0.0,2.5,12.5,6.5,40,25,0,582,80,125,326,4170,628
PEASTER ISD,11,1089,0.8,11.2,85.6,0.6,0.4,0.0,1.5,31.7,9.6,4,6,0,121,8,16,104,932,345
BROCK ISD,11,1172,1.2,7.7,88.2,0.4,0.2,0.1,2.2,10.1,5.7,2,4,1,90,14,25,66,1033,118
GARNER ISD,11,198,0.0,19.2,76.8,0.5,1.5,0.0,2.0,53.5,7.6,2,0,0,38,0,3,15,152,105
BOVINA ISD,16,485,0.0,92.0,7.0,0.0,0.2,0.0,0.8,84.5,5.2,0,0,0,446,0,3,25,33,409
FARWELL ISD,16,551,0.4,52.1,46.6,0.4,0.0,0.0,0.5,62.3,8.0,0,2,0,287,2,2,44,256,343
FRIONA ISD,16,1141,0.9,86.2,12.3,0.0,0.2,0.0,0.4,79.0,9.3,2,0,0,983,10,4,106,140,901
LAZBUDDIE ISD,16,193,0.0,36.3,61.7,1.6,0.0,0.0,0.5,72.5,9.3,0,3,0,70,0,0,17,119,139
BUENA VISTA ISD,18,177,0.0,78.0,22.0,0.0,0.0,0.0,0.0,53.1,2.3,0,0,0,138,0,0,4,38,93
FORT STOCKTON ISD,18,2475,0.7,86.4,11.8,0.1,0.6,0.0,0.4,61.7,5.5,14,2,0,2138,17,9,136,292,1527
IRAAN-SHEFFIELD ISD,18,543,6.4,60.2,30.9,1.1,0.0,0.6,0.7,44.4,9.9,0,5,3,326,34,3,53,167,241
