DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP
045903,RICE CISD,03,1259,20.3,53.5,24.8,0.2,0.2,0,1.1,75.7,9.8
045905,WEIMAR ISD,03,604,15.2,43,38.9,0,0,0,2.8,51.2,8.1
046802,TRINITY CHARTER SCHOOL,13,315,19.7,36.5,40.6,1.6,0,0,1.6,99,35.9
046901,NEW BRAUNFELS ISD,13,8265,1.6,46.8,48.9,0.5,0.6,0.1,1.5,38.6,7.6
046902,COMAL ISD,13,19436,2.2,37.2,56.4,0.3,1.2,0.2,2.6,30.7,9.2
047901,COMANCHE ISD,14,1258,0.4,48.8,49,0.5,0.5,0,0.9,66.2,10.8
047902,DE LEON ISD,14,647,1.1,34.5,61.7,0.3,0.3,0,2.2,58.1,9.4
047903,GUSTINE ISD,14,230,0.4,61.3,36.1,0.4,0,0,1.7,81.3,11.7
047905,SIDNEY ISD,14,133,0,15.8,83.5,0.8,0,0,0,69.2,7.5
048901,EDEN CISD,15,235,1.3,57.9,40.4,0,0,0,0.4,67.7,9.4
048903,PAINT ROCK ISD,15,229,0,46.3,50.7,0.4,0,0,2.6,68.6,10.9
049901,GAINESVILLE ISD,11,2823,7.3,55.5,30.8,0.6,1.1,0,4.7,80.6,7.4
049902,MUENSTER ISD,11,480,0.4,3.3,94,0.4,0.8,0,1,14.6,9.8
049903,VALLEY VIEW ISD,11,740,0,21.2,74.5,0.5,1.2,0.1,2.4,48.4,9.5
049905,CALLISBURG ISD,11,1156,0.6,10.3,86.6,1.2,0.1,0,1.2,48.8,10.4
049906,ERA ISD,11,450,0.4,12.4,81.8,1.8,0.2,0,3.3,35.1,6.9
049907,LINDSAY ISD,11,487,0.2,3.5,93.6,0.6,1.2,0,0.8,6.4,2.5
049908,WALNUT BEND ISD,11,86,0,12.8,83.7,0,0,0,3.5,74.4,7
049909,SIVELLS BEND ISD,11,70,1.4,4.3,90,2.9,0,0,1.4,62.9,8.6
050901,EVANT ISD,12,243,0.4,24.7,73.7,0.8,0,0,0.4,63.8,9.5
050902,GATESVILLE ISD,12,2817,2.3,21.3,71.5,0.5,0.6,0,3.9,49.8,11.8
050904,OGLESBY ISD,12,170,0,28.2,70,0,0,0,1.8,70,7.1
050909,JONESBORO ISD,12,189,0.5,11.1,87.3,0,0,0,1.1,54,8.5
050910,COPPERAS COVE ISD,12,8249,18.6,22.8,45.7,0.8,1.6,1.5,9,51.8,8.4
051901,PADUCAH ISD,17,210,12.4,37.6,47.1,1.9,0,0,1,64.8,12.4
052901,CRANE ISD,18,1147,2,72.2,25.2,0.2,0.1,0.1,0.3,36.5,7.9
053001,CROCKETT COUNTY CONSOLIDATED CSD,15,810,0.6,75.6,23,0.5,0.4,0,0,60.5,7.7
054901,CROSBYTON CISD,17,361,4.4,70.6,23.8,0,0,0,1.1,76.5,11.9
054902,LORENZO ISD,17,298,6,83.2,10.7,0,0,0,0,87.6,20.8
054903,RALLS ISD,17,532,1.1,75.8,22.6,0.2,0.2,0,0.2,85.5,10.3
055901,CULBERSON COUNTY-ALLAMOORE ISD,18,459,0,89.8,7.6,0.2,1.1,0.4,0.9,73.2,5.4
056901,DALHART ISD,16,1770,1.1,51.8,45,0.2,0.6,0.2,1.1,59.8,6.8
056902,TEXLINE ISD,16,156,1.9,49.4,46.2,1.9,0,0,0.6,61.5,9
057802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10,726,21.8,74.2,2.5,0,0.6,0,1,81,7.3
057803,UPLIFT EDUCATION - NORTH HILLS PRE,10,2198,5.6,34.3,16.3,0.1,40.4,0,3.2,27.3,4.8
057804,TEXANS CAN ACADEMIES,10,4258,28.5,67.7,2.8,0.2,0.4,0,0.3,94.2,11.7
057805,DALLAS COMMUNITY CHARTER SCHOOL,10,273,2.2,68.9,23.8,0,1.1,0,4,57.9,8.4
057806,ADVANTAGE ACADEMY,10,1630,21,57.1,18.3,0.2,1.2,0.2,1.8,73.6,6.5
057807,LIFE SCHOOL,10,4644,48.4,29.6,17.5,0.4,0.8,0.1,3.2,55.4,6.9
