DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,total DAEP PLACEMENTS,ratio ECO. DISADV. DAEP PLACEMENTS vs average,ratio SPEC. ED. DAEP PLACEMENTS vs average,ratio BLACK OR AFRICAN AMERICAN DAEP PLACEMENTS vs average,ratio HISPANIC/LATINO DAEP PLACEMENTS vs average,ratio WHITE DAEP PLACEMENTS vs average,ratio AMERICAN INDIAN OR ALASKA NAT DAEP PLACEMENTS vs average,ratio ASIAN DAEP PLACEMENTS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC DAEP PLACEMENTS vs average,ratio TWO OR MORE RACES DAEP PLACEMENTS vs average
018902,MERIDIAN ISD,12,523,4,32.1,59.7,0.2,0.4,0,3.6,61.6,10.9,2,0.8117,4.5872,0,1.5576,0.8375,0,0,1,0
018903,MORGAN ISD,12,117,0,65,27.4,1.7,0,0,6,95.7,17.1,0,1,1,1,1,1,1,1,1,1
018904,VALLEY MILLS ISD,12,618,3.4,22.3,70.4,0.6,0.5,0,2.8,56,11,1,0,0,0,0,1.4205,0,0,1,0
018905,WALNUT SPRINGS ISD,12,174,0,59.2,40.2,0,0,0,0.6,86.8,10.9,1,1.1521,0,1,1.6892,0,1,1,1,0
018906,IREDELL ISD,12,135,0,24.4,74.8,0,0,0,0.7,51.9,9.6,1,1.9268,10.4167,1,0,1.3369,1,1,1,0
018907,KOPPERL ISD,12,224,0.9,12.1,86.2,0,0,0,0.9,72.3,12.1,1,0,8.2645,0,0,1.1601,1,1,1,0
018908,CRANFILLS GAP ISD,12,123,0,27.6,72.4,0,0,0,0,78,8.1,0,1,1,1,1,1,1,1,1,1
019901,DEKALB ISD,08,822,20.8,11.6,62.4,1.2,0.1,0,3.9,65.2,11.4,3,0.5112,2.9240,1.6026,2.8736,0.5342,0,0,1,0
019902,HOOKS ISD,08,885,13.9,9.6,68.9,0.2,0.2,0.1,7,57.6,10.3,10,0.1736,0.9709,0.7194,0,1.1611,0,0,0,1.4286
019903,MAUD ISD,08,482,7.5,2.1,86.9,0.6,0,0,2.9,52.9,11.6,1,1.8904,8.6207,0,0,1.1507,0,1,1,0
019905,NEW BOSTON ISD,08,1376,22.2,6.4,62.8,0.4,0.5,0.1,7.6,62.8,13,30,1.3270,0.2564,0.9009,0.5208,1.1677,0,0,0,0.4386
019906,REDWATER ISD,08,1130,2.7,3.6,91.5,0.8,0.3,0,1.2,40.4,8.8,2,1.2376,5.6818,18.5185,0,0.5464,0,0,1,0
019907,TEXARKANA ISD,08,7239,45.5,13.2,35.5,0.4,1.1,0.1,4.2,68.5,10.2,369,1.3253,2.4975,1.8345,0.3901,0.2367,0,0,0,0.7098
019908,LIBERTY-EYLAU ISD,08,2672,47.8,5.8,39.8,0.3,0.2,0.4,5.7,73.8,11.4,109,1.1312,2.2533,1.4587,0.1582,0.6915,3.0581,0,0,0.1610
019909,SIMMS ISD,08,515,0.2,3.5,93.6,0,0,0,2.7,55.3,16.1,1,1.8083,0,0,0,1.0684,1,1,1,0
019910,MALTA ISD,08,147,0,5.4,87.1,1.4,0,0,6.1,60.5,10.9,0,1,1,1,1,1,1,1,1,1
019911,RED LICK ISD,08,484,0.8,3.5,92.6,1,0.6,0,1.4,7.2,5.2,1,0,0,0,0,1.0799,0,0,1,0
019912,PLEASANT GROVE ISD,08,2020,12.3,6.9,73.5,0.6,3.4,0.3,3.1,27.3,7.6,2,1.8315,6.5789,4.0650,0,0.6803,0,0,0,0
019913,HUBBARD ISD,08,96,0,14.6,80.2,2.1,0,0,3.1,57.3,13.5,0,1,1,1,1,1,1,1,1,1
019914,LEARY ISD,08,110,4.5,7.3,79.1,0.9,0,0,8.2,68.2,5.5,0,1,1,1,1,1,1,1,1,1
020901,ALVIN ISD,04,19667,14.7,43.9,30.4,0.5,8.7,0.1,1.8,50.5,9.2,245,1.5276,1.6415,0.9718,1.0320,1.2755,0.8163,0.0469,4.0816,0.2268
020902,ANGLETON ISD,04,6549,11.5,46.7,38,0.8,0.5,0.1,2.3,60.6,8.1,270,1.3690,1.9662,2.7375,0.8724,0.7115,0.4630,0,0,0.1610
020904,DANBURY ISD,04,773,0.5,21,75.2,0.8,0.4,0,2.2,28.7,8.9,2,1.7422,0,0,2.3810,0.6649,0,0,1,0
020905,BRAZOSPORT ISD,04,12364,8.4,50.8,36.6,0.4,1.5,0.1,2.2,57.3,8.5,398,1.4076,1.9214,2.4228,0.9744,0.8101,0.6281,0,0,0.1142
020906,SWEENY ISD,04,1886,15.5,21.3,57.8,0.4,0.3,0.1,4.6,48.9,7.8,17,2.1653,0.7541,0.3795,0.2762,1.5266,0,0,0,0
020907,COLUMBIA-BRAZORIA ISD,04,3042,11.2,27.8,57.9,0.2,0.3,0,2.5,53.3,8.5,32,1.5830,3.6765,0.2790,1.3489,0.9715,0,0,1,1.2500
020908,PEARLAND ISD,04,19964,16.1,29.7,41.1,0.5,9.8,0.1,2.8,27.8,8.8,148,2.1145,2.5338,1.4269,1.3650,0.8220,1.3514,0.0689,6.7568,0.2413
020910,DAMON ISD,04,187,1.6,47.6,47.6,0,0.5,0,2.7,80.7,9.1,0,1,1,1,1,1,1,1,1,1
021803,BRAZOS SCHOOL FOR INQUIRY & CREATI,06,478,50,42.9,6.1,0,0.4,0,0.6,93.5,7.5,0,1,1,1,1,1,1,1,1,1
021805,ARROW ACADEMY,06,927,66.6,31.8,0.8,0,0.3,0.1,0.4,83.6,4.4,0,1,1,1,1,1,1,1,1,1
021901,COLLEGE STATION ISD,06,11607,13.9,21.4,53.6,0.3,7.7,0.1,3,34.5,8.3,114,2.9494,3.0649,4.2913,1.8036,0.0164,2.9240,0,0,0
021902,BRYAN ISD,06,15723,19.7,53.5,24.9,0.2,0.4,0.1,1.2,74,7.7,451,1.1925,2.4189,2.1047,0.7792,0.6590,0,0,2.2173,0.1848
022004,TERLINGUA CSD,18,99,0,76.8,21.2,2,0,0,0,73.7,10.1,0,1,1,1,1,1,1,1,1,1
022901,ALPINE ISD,18,1047,0.7,64.5,32.8,0.1,1.1,0,1,50.9,8.2,3,0.6549,4.0650,0,0.5168,1.0163,0,0,1,33.3333
022902,MARATHON ISD,18,41,0,82.9,14.6,0,0,0,2.4,90.2,4.9,0,1,1,1,1,1,1,1,1,1
022903,SAN VICENTE ISD,18,24,0,37.5,54.2,0,0,0,8.3,41.7,4.2,0,1,1,1,1,1,1,1,1,1
023902,SILVERTON ISD,16,187,2.1,41.2,54.5,0,0,0,2.1,54.5,9.1,1,1.8349,0,0,0,0,1,1,1,47.6190
024901,BROOKS COUNTY ISD,02,1532,0,98.5,1.2,0.1,0.1,0,0,85.5,8.4,28,0.0418,2.1259,1,1.0152,0,0,0,1,1
025901,BANGS ISD,15,1055,3,24.7,69.1,0.2,0.4,0.1,2.5,46.5,10.5,3,6.4516,0,11.1111,1.3495,0.4824,0,0,0,0
025902,BROWNWOOD ISD,15,3504,5.4,38.6,52.1,0.5,0.7,0.1,2.7,63.9,9.1,72,1.4128,2.1368,3.6008,0.7556,0.9330,2.7778,0,0,0.5144
025904,BLANKET ISD,15,215,1.4,24.7,70.7,1.9,0.5,0,0.9,54.4,12.6,1,0,0,0,0,1.4144,0,0,1,0
025905,MAY ISD,15,259,0.4,21.6,76.8,0.4,0,0,0.8,53.7,10.8,0,1,1,1,1,1,1,1,1,1
